DEBUG:lynguine.config.interface:2025-05-18 18:38:28,591:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:28,591:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:28,904:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:29,373:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:29,373:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:29,374:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:29,645:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,132:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:30,132:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,132:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,133:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,133:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,133:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:30,422:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,861:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:30,861:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,862:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,862:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,862:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:30,862:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:31,169:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:31,624:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:31,624:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:31,624:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:31,625:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:31,625:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:31,625:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:31,894:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:32,337:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:32,337:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:32,337:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:32,338:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:32,338:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:32,338:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:32,658:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,095:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:33,095:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,095:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:33,409:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,866:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:33,872:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,872:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,873:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,873:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:33,873:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:34,216:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:34,668:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:34,668:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:34,668:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:34,668:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:34,668:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:34,669:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:34,969:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:35,423:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:35,423:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:35,423:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:35,424:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:35,424:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:35,424:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:35,693:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,146:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:36,146:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,146:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,146:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,146:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,147:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:36,433:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,955:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:36,955:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:36,955:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:37,234:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:37,684:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:37,684:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:37,684:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:37,685:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:37,685:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:37,685:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:37,975:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:38,417:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:38,417:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:38,417:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:38,694:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,136:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:39,136:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,136:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,136:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,136:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,136:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:39,413:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,851:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:39,851:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,851:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,852:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,852:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:39,852:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:40,150:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:40,580:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:40,580:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:40,580:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:40,580:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:40,580:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:40,581:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:40,859:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:41,308:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:41,308:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:41,308:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:41,308:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:41,308:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:41,309:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:41,587:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,027:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:42,027:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,027:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:42,312:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,738:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:42,738:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,738:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,738:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,738:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:42,739:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:43,013:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:43,451:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:43,451:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:43,451:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:43,720:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,154:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:44,154:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,154:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,155:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,155:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,155:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:44,430:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,878:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:44,878:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:44,878:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:45,184:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:45,618:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:45,618:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:45,618:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:45,618:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:45,618:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:45,619:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:45,900:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:46,343:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:46,343:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:46,343:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:46,643:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,075:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:47,076:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,076:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,076:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,076:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,076:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:47,357:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,789:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:47,789:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:47,789:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:48,096:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:48,528:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:48,528:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:48,528:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:48,529:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:48,529:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:48,529:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:48,814:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,254:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:49,254:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,254:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:49,530:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,969:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:49,969:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,969:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,969:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,970:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:49,970:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:50,250:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:50,707:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:50,707:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:50,707:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:50,708:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:50,708:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:50,708:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-19 19:49:14,384:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-19 19:49:15,181:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-19 19:49:15,181:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-19 19:49:15,181:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-19 19:49:17,132:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-19 19:49:17,585:Attempting to open file "./_lynguine.yml".
